Player,Nationality,Teams Played For
AB de Villiers,SA,"DC, RCB"
Aakash Chopra,IND,KKR
Aaron Finch,AUS,"DC, GL, KKR, MI, PBKS, RCB, RR, SRH"
Aavishkar Salvi,IND,DC
Abdul Basith,IND,RR
Abdul Samad,IND,"LSG, SRH"
Abdur Razzak,BAN,RCB
Abhijeet Tomar,IND,KKR
Abhimanyu Mithun,IND,"MI, RCB"
Abhinandan Singh,IND,RCB
Abhinav Kumar,IND,DQ
Abhinav Manohar,IND,"GT, SRH"
Abhinav Mukund,IND,"CSK, RCB"
Abhishek Jhunjhunwala,IND,"DQ, PWI, RR"
Abhishek Nayar,IND,"MI, RR"
Abhishek Porel,IND,DC
Abhishek Raut,IND,RR
Abhishek Sharma,IND,"DC, SRH"
Abrar Kazi,IND,RCB
Abu Nechim,IND,"MI, RCB"
Adam Gilchrist,AUS,"DQ, PBKS"
Adam Milne,NZ,"CSK, MI, RCB"
Adam Voges,AUS,RR
Adam Zampa,AUS,"RCB, RPSG, RR, SRH"
Adil Rashid,ENG,SRH
Aditya Dole,IND,RR
Aditya Tare,IND,"DC, MI, SRH"
Adrian Barath,WI,PBKS
Aiden Blizzard,AUS,MI
Aiden Markram,SA,"LSG, SRH"
Ajantha Mendis,SL,"KKR, PWI"
Ajinkya Rahane,IND,"CSK, DC, KKR, MI, RPSG"
Ajinkya Rahane †,IND,RR
Ajit Agarkar,IND,"DC, KKR"
Ajit Chandila,IND,RR
Akash Deep,IND,"LSG, RCB"
Akash Madhwal,IND,"MI, RR"
Akash Singh,IND,"LSG, RR"
Akeal Hosein,WI,SRH
Akila Dananjaya,SL,"CSK, MI"
Akshath Reddy,IND,"DQ, SRH"
Akshay Karnewar,IND,RCB
Akshay Wakhare,IND,MI
Akshdeep Nath,IND,"GL, PBKS, RCB"
Albie Morkel,SA,"CSK, DC, RCB"
Alex Carey,AUS,DC
Alex Hales,ENG,"MI, SRH"
Ali Murtaza,IND,"MI, PWI"
Alzarri Joseph,WI,"GT, MI, RCB"
Aman Khan,IND,"DC, KKR"
Ambati Rayudu,IND,"CSK, MI"
Amit Mishra,IND,"DC, DQ, GL, LSG, SRH"
Amit Paunikar ‡,IND,RR
Amit Singh,IND,RR
Amit Uniyal,IND,RR
Amitoze Singh,IND,MI
Anand Rajan,IND,"DQ, SRH"
Andre Russell,WI,"DC, KKR"
Andrew Flintoff,ENG,CSK
Andrew McDonald,AUS,"DC, RCB"
Andrew Symonds,AUS,"DQ, MI"
Andrew Tye,AUS,"CSK, GL, LSG, PBKS, RR"
André Nel,SA,MI
Aneeshwar Gautam,IND,RCB
Angelo Mathews,SL,"DC, KKR, PWI"
Aniket Choudhary,IND,RCB
Aniket Verma,IND,SRH
Anil Kumble,IND,RCB
Aniruddha Joshi,IND,RCB
Anirudh Singh,IND,DQ
Anirudha Srikkanth,IND,"CSK, SRH"
Ankeet Chavan,IND,"MI, RR"
Ankit Bawne,IND,DC
Ankit Rajpoot,IND,"KKR, LSG, RR"
Ankit Sharma,IND,"DQ, RPSG, RR, SRH"
Ankit Soni,IND,GL
Ankush Bains,IND,RPSG
Anmolpreet Singh,IND,"MI, SRH"
Anrich Nortje,SA,DC
Anshul Kamboj,IND,MI
Anuj Rawat,IND,"GT, RCB"
Anuj Rawat ‡,IND,RR
Anukul Roy,IND,"KKR, MI"
Anureet Singh,IND,"KKR, PBKS, RR"
Anustup Majumdar,IND,PWI
Apoorv Wankhade,IND,MI
Arindam Ghosh,IND,KKR
Arjun Tendulkar,IND,MI
Arjun Yadav,IND,DQ
Arshad Khan,IND,"GT, MI"
Arshdeep Singh,IND,PBKS
Arshin Kulkarni,IND,LSG
Arun Karthik,IND,RCB
Aryan Juyal,IND,"LSG, MI"
Asad Pathan,IND,RCB
Asela Gunaratne,SL,MI
Ashish Nehra,IND,"DC, MI, PWI, SRH"
Ashish Reddy,IND,"DQ, SRH"
Ashley Noffke,AUS,RCB
Ashok Dinda,IND,"DC, KKR, PWI, RCB, RPSG"
Ashok Menaria,IND,RR
Ashton Turner,AUS,"LSG, RR"
Ashutosh Sharma,IND,DC
Ashwani Kumar,IND,MI
Ashwell Prince,SA,"CSK, MI"
Atharva Taide,IND,SRH
Avesh Khan,IND,"DC, LSG, RCB, RR"
Avinash Singh,IND,RCB
Axar Patel,IND,"DC, MI, PBKS"
Ayush Badoni,IND,LSG
Azhar Bilakhia,IND,DQ
Azhar Mahmood,PAK,"KKR, PBKS"
Azmatullah Omarzai,AFG,PBKS
B. Akhil,IND,RCB
B. Chipli,IND,RCB
Baba Aparajith,IND,"CSK, RPSG"
Baba Indrajith,IND,KKR
Balachandra Akhil,IND,KTK
Barinder Sran,IND,"MI, RR, SRH"
Basil Thampi,IND,"GL, MI, SRH"
Ben Cutting,AUS,"MI, RR, SRH"
Ben Dunk,AUS,MI
Ben Hilfenhaus,AUS,"CSK, MI"
Ben Laughlin,AUS,"CSK, RR"
Ben Rohrer,AUS,DC
Ben Stokes,ENG,"CSK, RPSG, RR"
Beuran Hendricks,SA,MI
Bhagath Varma,IND,CSK
Bharat Chipli,IND,"DC, DQ"
Bhargav Bhatt,IND,PBKS
Bhuvneshwar Kumar,IND,"PWI, RCB, SRH"
Billy Stanlake,AUS,"RCB, SRH"
Biplab Samantray,IND,SRH
Bipul Sharma,IND,"PBKS, SRH"
Brad Hodge,AUS,"KKR, KTK, RR"
Brad Hogg,AUS,"KKR, RR"
Brendon McCullum,NZ,"CSK, GL, KKR, KTK, RCB"
Brett Geeves,AUS,DC
Brett Lee,AUS,"KKR, PBKS"
C. M. Gautam,IND,DC
CM Gautam,IND,RCB
Callum Ferguson,AUS,PWI
Cameron Green,AUS,"MI, RCB"
Cameron White,AUS,"DQ, RCB, SRH"
Carlos Brathwaite,WI,"DC, KKR, SRH"
Chama Milind,IND,RCB
Chamara Kapugedera,SL,CSK
Chamara Silva,SL,DQ
Chaminda Vaas,SL,DQ
Chandan Madan,IND,"KTK, MI"
Charl Langeveldt,SA,"KKR, RCB"
Chetan Sakariya,IND,"DC, RR"
Chetanya Nanda,IND,MI
Cheteshwar Pujara,IND,"CSK, KKR, RCB"
Chidhambaram Gautam,IND,MI
Chris Gayle,WI,"KKR, PBKS, RCB"
Chris Green,AUS,KKR
Chris Jordan,ENG,"MI, PBKS, RCB, SRH"
Chris Lynn,AUS,"DQ, KKR, MI"
Chris Morris,SA,"CSK, DC, RCB, RR"
Chris Woakes,ENG,"DC, KKR, RCB"
Christopher Barnwell,WI,RCB
Clint McKay,AUS,MI
Colin Ingram,SA,DC
Colin Munro,NZ,"DC, KKR, MI"
Colin de Grandhomme,NZ,"KKR, RCB"
Corey Anderson,USA,"DC, MI, RCB"
D'Arcy Short,AUS,RR
Dale Steyn,SA,"DQ, RCB, SRH"
Damien Martyn,AUS,RR
Dan Christian,AUS,"DC, DQ, RCB"
Daniel Christian,AUS,RPSG
Daniel Harris,AUS,DQ
Daniel Sams,AUS,"DC, LSG, MI, RCB"
Daniel Vettori,NZ,"DC, RCB"
Daren Sammy,WI,SRH
Darren Bravo,WI,"CSK, KKR"
Darren Lehmann,AUS,RR
Darren Sammy,WI,RCB
Darshan Nalkande,IND,GT
Daryl Mitchell,NZ,RR
David Hussey,AUS,KKR
David Miller,SA,"GT, LSG, PBKS, RR"
David Warner,AUS,"DC, SRH"
David Wiese,NAM,"KKR, RCB"
David Willey,ENG,"CSK, LSG, RCB"
Davy Jacobs,SA,MI
Debabrata Das,IND,KKR
Deepak Chahar,IND,"CSK, MI, RPSG"
Deepak Chougule,IND,KTK
Deepak Hooda,IND,"LSG, PBKS, RR, SRH"
Deepak Punia,IND,MI
Devdutt Padikkal,IND,"LSG, RCB, RR"
Devon Conway,NZ,CSK
Devraj Patil,IND,RCB
Dewald Brevis,SA,MI
Dhawal Kulkarni,IND,"GL, MI, RR"
Dheeraj Jadhav,IND,PWI
Dhruv Jurel § ‡,IND,RR
Digvesh Singh,IND,LSG
Digvijay Deshmukh,IND,MI
Dilhara Fernando,SL,MI
Dillon du Preez,SA,RCB
Dilshan Madushanka,SL,MI
Dimitri Mascarenhas,ENG,RR
Dinesh Karthik,IND,"DC, GL, KKR, MI, PBKS, RCB"
Dinesh Salunkhe,IND,RR
Dirk Nannes,AUS,"DC, RCB"
Dishant Yagnik ‡,IND,RR
Dominic Drakes,WI,GT
Dominic Thornely,AUS,MI
Domnic Joseph,IND,DC
Donovan Ferreira,SA,DC
Donovan Ferreira §,SA,RR
Doug Bollinger,AUS,CSK
Doug Bracewell,NZ,DC
Duan Jansen,SA,MI
Dushmantha Chameera,SL,"DC, LSG, RCB"
Dwaine Pretorius,SA,CSK
Dwaraka Ravi Teja,IND,SRH
Dwayne Bravo,WI,"CSK, GL, MI"
Dwayne Smith,WI,"CSK, DQ, GL, MI"
Eklavya Dwivedi,IND,"GL, PWI"
Eoin Morgan,ENG,"KKR, RCB, SRH"
Eshan Malinga,IND,SRH
Evin Lewis,WI,"LSG, MI, RR"
Fabian Allen,WI,"MI, PBKS"
Faf du Plessis,SA,"CSK, DC, RCB, RPSG"
Faiz Fazal,IND,RR
Farhaan Behardien,SA,PBKS
Farveez Maharoof,SL,DC
Fazalhaq Farooqi,AFG,"RR, SRH"
Fidel Edwards,WI,DQ
Finn Allen,NZ,RCB
Gaurav Dhiman,IND,MI
Gautam Gambhir,IND,"DC, KKR"
George Bailey,AUS,"CSK, PBKS"
George Garton,ENG,RCB
Gerald Coetzee,SA,"GT, MI"
Glenn Maxwell,AUS,"DC, MI, RCB"
Glenn McGrath,AUS,DC
Glenn Phillips,NZ,"GT, RR, SRH"
Graeme Smith,SA,"PWI, RR"
Graham Napier,ENG,MI
Gurinder Sandhu,AUS,DC
Gurkeerat Singh Mann,IND,"GT, RCB"
Halhadar Das,IND,DQ
Hanuma Vihari,IND,"DC, SRH"
Harbhajan Singh,IND,"CSK, KKR, MI"
Hardik Pandya,IND,"GT, MI"
Hari Nishanth,IND,CSK
Harmeet Singh,IND,"DQ, RR"
Harpreet Brar,IND,PBKS
Harpreet Singh,IND,"KKR, PWI"
Harpreet Singh Bhatia,IND,RCB
Harry Brook,ENG,SRH
Harry Gurney,ENG,KKR
Harsh Dubey,IND,SRH
Harshal Patel,IND,"DC, PBKS, RCB, SRH"
Harshit Rana,IND,KKR
Hashim Amla,SA,PBKS
Heinrich Klaasen,SA,"RCB, SRH"
Heinrich Klaasen ‡,SA,RR
Herschelle Gibbs,SA,"DQ, MI"
Himanshu Sharma,IND,"LSG, RCB"
Himmat Singh,IND,RCB
Hrithik Shokeen,IND,MI
Imran Tahir,SA,"CSK, DC, RPSG"
Iqbal Abdulla,IND,"KKR, RCB"
Iqbal Abdullah,IND,RR
Irfan Pathan,IND,"DC, SRH"
Ish Sodhi,NZ,RR
Ishan Kishan,IND,"GL, MI, SRH"
Ishan Malhotra,IND,MI
Ishank Jaggi,IND,"DQ, KKR"
Ishant Sharma,IND,"DC, DQ, GT, KKR, SRH"
Isuru Udana,SL,RCB
JP Duminy,SA,"DC, DQ, MI"
Jacob Bethell,ENG,RCB
Jacob Oram,NZ,"MI, RR"
Jacques Kallis,SA,"KKR, RCB"
Jagadeesh Arunkumar,IND,RCB
Jagadeesha Suchith,IND,"MI, SRH"
Jake Fraser-McGurk,AUS,DC
Jalaj Saxena,IND,"MI, RCB"
James Faulkner,AUS,"GL, PBKS, RR"
James Franklin,NZ,MI
James Hopes,AUS,"DC, PWI"
James Neesham,NZ,"DC, MI, RR"
James Pattinson,AUS,MI
Jaskaran Singh,IND,DQ
Jason Behrendorff,AUS,"MI, RCB"
Jason Holder,WI,"KKR, LSG, RR, SRH"
Jason Roy,ENG,"DC, GL, GT, KKR, SRH"
Jasprit Bumrah,IND,MI
Javed Khan,IND,MI
Javon Searles,WI,KKR
Jayant Yadav,IND,"DC, GT, MI"
Jaydev Shah,IND,"GL, MI"
Jaydev Unadkat,IND,"DC, KKR, LSG, MI, RCB, RPSG, RR, SRH"
Jeevan Mendis,SL,DC
Jerome Taylor,WI,"MI, PWI"
Jesse Ryder,NZ,RCB
Jhye Richardson,AUS,"DC, MI"
Jitesh Sharma,IND,"MI, PBKS, RCB"
Joe Denly,ENG,"KKR, RPSG"
Joe Root,ENG,RR
Jofra Archer,ENG,MI
Jofra Archer §,ENG,RR
Joginder Sharma,IND,CSK
Johan Botha,SA,"DC, KKR, RR"
Johan van der Wath,SA,RCB
John Hastings,AUS,"KKR, KTK"
Jonathan Vandiar,SA,RCB
Jonny Bairstow,ENG,"PBKS, SRH"
Jos Buttler,ENG,"GT, MI"
Jos Buttler ‡,ENG,RR
Josh Hazlewood,AUS,"MI, RCB"
Josh Inglis,AUS,PBKS
Josh Philippe,AUS,RCB
Joshua Little,IRE,GT
Junior Dala,SA,DC
K. S. Bharat,IND,DC
KC Cariappa,IND,"KKR, PBKS"
KL Rahul,IND,"DC, LSG, PBKS, RCB, SRH"
KM Asif,IND,"CSK, RR"
KP Appanna,IND,RCB
KS Bharat,IND,"GT, RCB"
Kagiso Rabada,SA,"DC, PBKS"
Kalyankrishna Doddapaneni,IND,DQ
Kamindu Mendis,SL,SRH
Kamlesh Nagarkoti,IND,"DC, KKR"
Kamran Akmal ‡,PAK,RR
Kamran Khan,IND,RR
Kane Richardson,AUS,"RCB, RR"
Kane Williamson,NZ,"GT, SRH"
Karan Sharma,IND,"LSG, RCB"
Karim Janat,AFG,GT
Karn Sharma,IND,"MI, SRH"
Kartik Tyagi,IND,"RR, SRH"
Karun Nair,IND,"DC, PBKS, RCB, RR"
Kedar Devdhar,IND,DQ
Kedar Jadhav,IND,"CSK, DC, KTK, RCB, SRH"
Keemo Paul,WI,DC
Kemar Roach,WI,DQ
Keshav Maharaj,SA,RR
Kevin Pietersen,ENG,"DC, RCB"
Kevon Cooper,WI,RR
Khaleel Ahmed,IND,"DC, SRH"
Kieron Pollard,WI,MI
Kishore Kamath,IND,MI
Krishmar Santokie,WI,MI
Krishnappa Gowtham,IND,"LSG, MI, PBKS, RR"
Krunal Pandya,IND,"LSG, MI, RCB"
Kuldeep Sen §,IND,RR
Kuldeep Yadav,IND,"DC, KKR, MI"
Kuldip Yadav,IND,RR
Kulwant Khejroliya,IND,"GT, KKR, MI, RCB"
Kumar Kartikeya,IND,"MI, RR"
Kumar Kushagra,IND,"DC, GT"
Kumar Sangakkara,SL,"DQ, PBKS, SRH"
Kunal Singh Rathore ‡,IND,RR
Kusal Perera,SL,RR
Kwena Maphaka §,SA,RR
Kyle Abbott,SA,PBKS
Kyle Jamieson,NZ,"CSK, RCB"
Kyle Mayers,WI,LSG
Kyle Mills,NZ,MI
Lakshmipathy Balaji,IND,"CSK, KKR, PBKS"
Lalit Yadav,IND,DC
Lasith Malinga,SL,MI
Laxmi Shukla,IND,"DC, KKR"
Lee Carseldine,AUS,RR
Lendl Simmons,WI,MI
Liam Livingstone,ENG,"PBKS, RCB"
Liam Plunkett,ENG,DC
Litton Das,BAN,KKR
Lizaad Williams,SA,DC
Lockie Ferguson,NZ,"GT, KKR, PBKS, RCB, RPSG"
Loots Bosman,SA,MI
Love Ablish,IND,PBKS
Luke Pomersbach,AUS,RCB
Luke Ronchi,NZ,MI
Luke Wright,ENG,PWI
Lukman Meriwala,IND,DC
Lungi Ngidi,SA,"CSK, RCB"
Luvnith Sisodia,IND,RCB
M. Siddharth,IND,LSG
MD Nidheesh,IND,MI
MS Dhoni,IND,"CSK, RPSG"
Maheesh Theekshana,SL,"CSK, RR"
Mahela Jayawardene,SL,"DC, KTK, PBKS"
Mahesh Rawat ‡,IND,RR
Mahipal Lomror,IND,"GT, RCB, RR"
Makhaya Ntini,SA,CSK
Manan Vohra,IND,"LSG, RCB, RR"
Manav Suthar,IND,GT
Mandeep Singh,IND,"DC, KKR, RCB"
Manish Pandey,IND,"DC, KKR, LSG, MI, PWI, RCB, SRH"
Manoj Bhandage,IND,RCB
